ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,data_rinnovo,validita_rinnovo,nuovi_espatri,note_esp_rinnovi
8d7997e0-e732-11ec-9265-1b928756c2ff,8ce94950-e733-11ec-9265-1b928756c2ff,2022-06-08T14:01:53.509Z,2022-06-08T14:02:08.000Z,8ce94950-e733-11ec-9265-1b928756c2ff,1901,1,Austria-Ungheria,
8d7997e0-e732-11ec-9265-1b928756c2ff,88961bd0-e733-11ec-9265-1b928756c2ff,2022-06-08T14:01:46.253Z,2022-06-08T14:02:08.000Z,88961bd0-e733-11ec-9265-1b928756c2ff,1900,1,Austria-Ungheria,
8d7997e0-e732-11ec-9265-1b928756c2ff,83602f70-e733-11ec-9265-1b928756c2ff,2022-06-08T14:01:37.511Z,2022-06-08T14:02:09.000Z,83602f70-e733-11ec-9265-1b928756c2ff,1895,1,Europa,
8d7997e0-e732-11ec-9265-1b928756c2ff,7bd6b620-e733-11ec-9265-1b928756c2ff,2022-06-08T14:01:24.866Z,2022-06-08T14:02:09.000Z,7bd6b620-e733-11ec-9265-1b928756c2ff,1894,"5 mesi",Austria-Ungheria,
8d7997e0-e732-11ec-9265-1b928756c2ff,731e59c0-e733-11ec-9265-1b928756c2ff,2022-06-08T14:01:10.236Z,2022-06-08T14:02:10.000Z,731e59c0-e733-11ec-9265-1b928756c2ff,1892,1,Austria-Ungheria,
ca994dd0-e72a-11ec-9265-1b928756c2ff,851d3e30-e732-11ec-9265-1b928756c2ff,2022-06-08T13:54:30.931Z,2022-06-08T13:54:41.000Z,851d3e30-e732-11ec-9265-1b928756c2ff,1898,1,Austria-Ungheria,
ca994dd0-e72a-11ec-9265-1b928756c2ff,7f17ccd0-e732-11ec-9265-1b928756c2ff,2022-06-08T13:54:20.829Z,2022-06-08T13:54:42.000Z,7f17ccd0-e732-11ec-9265-1b928756c2ff,1895,3,Europa,
ca994dd0-e72a-11ec-9265-1b928756c2ff,77fa82d0-e732-11ec-9265-1b928756c2ff,2022-06-08T13:54:08.893Z,2022-06-08T13:54:42.000Z,77fa82d0-e732-11ec-9265-1b928756c2ff,1894,1,Austria-Ungheria,
ca994dd0-e72a-11ec-9265-1b928756c2ff,68c0a740-e732-11ec-9265-1b928756c2ff,2022-06-08T13:53:43.348Z,2022-06-08T13:54:43.000Z,68c0a740-e732-11ec-9265-1b928756c2ff,1893,"10 mesi",Austria-Ungheria,
13773610-e673-11ec-9707-654b5e28b178,430ce9b0-e673-11ec-9707-654b5e28b178,2022-06-07T15:05:26.219Z,2022-06-07T15:05:38.000Z,430ce9b0-e673-11ec-9707-654b5e28b178,1899,1,Austria-Ungheria,
13773610-e673-11ec-9707-654b5e28b178,3e57c610-e673-11ec-9707-654b5e28b178,2022-06-07T15:05:18.321Z,2022-06-07T15:05:38.000Z,3e57c610-e673-11ec-9707-654b5e28b178,1897,1,Austria-Ungheria,
13773610-e673-11ec-9707-654b5e28b178,388090a0-e673-11ec-9707-654b5e28b178,2022-06-07T15:05:08.522Z,2022-06-07T15:05:39.000Z,388090a0-e673-11ec-9707-654b5e28b178,1895,1,"Austria, Germania, Ungheria",
