espatri,fuori_europa,europa,interno,Francia,ricorrenze
Africa,1,0,0,0,2
"Africa, Asia",1,0,0,0,2
America,1,0,0,,423
"America, Africa, Austria",1,0,1,,1
"America, Asia, Africa",1,0,1,,1
"America, Austria",1,0,1,,2
"America, Austria-Ungheria, Italia",1,1,1,,1
"America, Austria, Germania",1,,,,1
"America, Austria, Germania, Francia, Svizzera",1,,,,1
"America, Europa",1,,,,26
"America, Francia",1,,,,1
"America, Germania, Ungheria",1,,,,1
"America, Italia",1,,,,2
"America, Italia, Francia",1,,,,1
"America, Ungheria, Francia",1,,,,1
"America, Ungheria, Germania",1,,,,3
"America, Ungheria, Italia",1,,,,1
"Asia, Africa",1,,,,4
"Asia, Africa, America",1,,,,1
"Asia, America",1,,,,1
"Asia, Europa, America",1,,,,1
Austria,0,,,,297
Austria-Ungheria,0,,,,1635
"Austria-Ungheria, America",1,,,,5
"Austria-Ungheria, America, Esteri d'Europa",1,,,,2
"Austria-Ungheria, Austria",0,,,,1
"Austria-Ungheria, Bosnia-Erzegovina",0,,,,57
"Austria-Ungheria, Bosnia-Erzegovina, Germania",0,,,,1
"Austria-Ungheria, Esteri d'Europa",0,1,1,,117
"Austria-Ungheria, Esteri d'Europa, America",1,,,,2
"Austria-Ungheria, Europa",0,,,,15
"Austria-Ungheria, Europa, America",1,,,,1
"Austria-Ungheria, Francia",0,,,,24
"Austria-Ungheria, Francia, Germania",0,,,,1
"Austria-Ungheria, Francia, Germania, Italia",,,,,2
"Austria-Ungheria, Francia, Germania, Svizzera",,,,,1
"Austria-Ungheria, Francia, Germania, Svizzera, Italia",,,,,1
"Austria-Ungheria, Francia, Italia",,,,,12
"Austria-Ungheria, Francia, Italia, Germania",,,,,2
"Austria-Ungheria, Francia, Italia, Germania, Svizzera",,,,,2
"Austria-Ungheria, Francia, Italia, Svizzera, Germania",,,,,2
"Austria-Ungheria, Francia, Svizzera",,,,,5
"Austria-Ungheria, Francia, Svizzera, Germania, Italia",,,,,1
"Austria-Ungheria, Francia, Svizzera, Italia, Germania",,,,,1
"Austria-Ungheria, Germania",,,,,676
"Austria-Ungheria, Germania, America",,,,,1
"Austria-Ungheria, Germania, Bosnia-Erzegovina",,,,,2
"Austria-Ungheria, Germania, Europa",,,,,1
"Austria-Ungheria, Germania, Francia",,,,,81
"Austria-Ungheria, Germania, Francia, Bosnia-Erzegovina",,,,,1
"Austria-Ungheria, Germania, Francia, Italia",,,,,9
"Austria-Ungheria, Germania, Francia, Italia, Svizzera",,,,,3
"Austria-Ungheria, Germania, Francia, Svizzera",,,,,17
"Austria-Ungheria, Germania, Francia, Svizzera, Italia",,,,,8
"Austria-Ungheria, Germania, Francia, Svizzera, Italia, Turchia",,,,,1
"Austria-Ungheria, Germania, Italia",,,,,138
"Austria-Ungheria, Germania, Italia, Francia",,,,,10
"Austria-Ungheria, Germania, Italia, Francia, Bosnia-Erzegovina",,,,,1
"Austria-Ungheria, Germania, Italia, Francia, Svizzera",,,,,2
"Austria-Ungheria, Germania, Italia, Svizzera",,,,,4
"Austria-Ungheria, Germania, Italia, Svizzera, Francia",,,,,3
"Austria-Ungheria, Germania, Svizzera",,,,,306
"Austria-Ungheria, Germania, Svizzera, America",,,,,1
"Austria-Ungheria, Germania, Svizzera, Bosnia-Erzegovina",,,,,1
"Austria-Ungheria, Germania, Svizzera, Francia",,,,,14
"Austria-Ungheria, Germania, Svizzera, Francia, Italia",,,,,10
"Austria-Ungheria, Germania, Svizzera, Italia",,,,,18
"Austria-Ungheria, Germania, Svizzera, Italia, Francia",,,,,5
"Austria-Ungheria, Germania, Turchia",,,,,2
"Austria-Ungheria, Italia",,,,,239
"Austria-Ungheria, Italia, America",,,,,4
"Austria-Ungheria, Italia, Esteri d'Europa",,,,,1
"Austria-Ungheria, Italia, Europa",,,,,1
"Austria-Ungheria, Italia, Francia",,,,,20
"Austria-Ungheria, Italia, Francia, Germania",,,,,4
