mestiere,raggruppamento,corretto,ricorrenze
,,,0
1865,,,1
1878,,,1
1882,,,1
3 mesi,,,1
8 mesi,,,1
accordante strumenti musicali,artigianale,,1
agente,impiegatizio,,4
agente ,impiegatizio,,2
agente assicurativo,impiegatizio,,1
agente bureau,impiegatizio,,1
agente commercio,commercio,,1
agente comunale,impiegatizio,,1
agente di commercio,commercio,,31
agente di commercio ,commercio,,1
agente di negozio,commercio,,10
agente negoziante ,commercio,,1
agente negozio,commercio,,2
agente viaggiatore e professore d'orchestra,artistico,,1
agente viaggio,impiegatizio,,1
"agente, giornaliero ",impiegatizio,,1
agricoltore,agricoltura e allevamento,,10
agronomo,agricoltura e allevamento,,3
albergatore,commercio,,1
allievo di marina ,militare,,1
amministrativo,impiegatizio,,1
amministrativo postale,impiegatizio,,1
apprendista di enologia,agricoltura e allevamento,,1
apprendista fabbro,manuale,,1
apprendista meccanico,manuale,,1
apprendista negozio,commercio,,1
archeologo,intellettuale e tecnico,,1
architetto,intellettuale e tecnico,,2
armaiolo,artigianale,,1
arrotino,commercio,,9
artigiana,artigianale,,1
artigiano,artigianale,,4
"artista (pittore, fotografo, marionettista)",artistico,,1
artista scultore,artistico,,2
assistente di lavori ferroviari,vario,,1
avvocato,intellettuale e tecnico,,2
bandaio,artigianale,,1
bandajo,artigianale,bandaio,1
barbiere,artigianale,,22
barbiere operaio,artigianale,,1
bersagliere,militare,,1
bersagliere e muratore,militare,,1
botanico,intellettuale e tecnico,,2
bottaio,artigianale,,2
bottajo,artigianale,bottaio,1
bottegaia,commercio,,1
"bottigliaio, stagnino ",artigianale,,1
bracciante,agricoltura e allevamento,,1
bracciante ,agricoltura e allevamento,,1
caffettiere,commercio,,1
calzolaio,artigianale,,90
calzolaio ,artigianale,,5
calzolaio - giornaliero,artigianale,,1
calzolaio di giornata,artigianale,,1
calzolaio giornaliere - corista teatrale,artigianale,,1
calzolaio giornaliero,artigianale,,12
"calzolaio, cantante",artigianale,,1
"calzolaio, giornaliero",artigianale,,1
"calzolaio, giornaliero ",artigianale,,1
cameriera,commercio,,23
cameriere,commercio,,14
cameriere ,commercio,,1
Cancellista di Polizia,militare,cancellista di polizia,1
Canonico del Duomo,clero,canonico del duomo,1
cantante,artistico,,1
capitano,militare,,2
capitano artiglieria ,militare,,1
capitano dell'esercito,militare,,1
capitano in pensione,militare,,3
capitano medico,militare,,1
"capitano, uditore",militare,,1
caporale della marina militare,militare,,1
cappellaio,commercio,,1
cappellano di S. Marco,clero,,1
Carezza,,,1
carpentiere,artigianale,,10
carpentiere giornaliero,artigianale,,1
carrettiere,manuale,,1
cartolaio,commercio,,1
casalecchio,,,1
casalinga,domestico,,34
cocchiere,vario,,2
Coloritore,artigianale,coloritore,1
commerciante,commercio,,53
commerciante di vini,commercio,,1
commessa,commercio,,10
commesso,commercio,,11
commesso ,commercio,,1
commesso di banca,impiegatizio,,2
commesso di commercio,commercio,,2
commesso di negozio,commercio,,8
commesso di negozio ,commercio,,1
commesso di studio,intellettuale e tecnico,,1
commesso giornaliero,commercio,,2
commesso negozio,commercio,,3
commissario,militare,,1
Commissario ,militare,commissario,1
commissario polizia,militare,,1
commissionario,commercio,,2
Commissionario ,commercio,commissionario,1
commissionato,commercio,commissionato,2
Commissionato ,commercio,commissionato,1
conciacapelli,manuale,,1
conciapietre,manuale,,1
conciatore,manuale,,1
consigliere,vario,,2
consigliere aulico,vario,,1
consigliere reggenza,vario,,1
contabile,impiegatizio,,3
contadina,agricoltura e allevamento,,145
contadina ,agricoltura e allevamento,,1
contadino,agricoltura e allevamento,,642
contadino ,agricoltura e allevamento,,1
contadino giornaliero,agricoltura e allevamento,contadino,1
contadino giornaliero ,agricoltura e allevamento,contadino,2
"contadino, negoziante",agricoltura e allevamento,contadino,1
cucitrice,artigianale,,9
cucitrice di pellicce,artigianale,,1
cucitrice in oro,artigianale,,1
cuoca ,manuale,,1
cuoco,manuale,,1
Dama di compagnia,domestico,dama di compagnia,1
decoratore di stanza,artigianale,,1
direttore di commercio,commercio,,1
direttore di fabbrica,commercio,,1
disegnatore,artistico,,1
disoccupato,vario,,3
diurnista,vario,,1
docente,intellettuale e tecnico,,2
domestica,domestico,,73
domestico,domestico,,6
donna di famiglia,domestico,,1
dottore,intellettuale e tecnico,,1
dottore in legge,intellettuale e tecnico,,5
dottore in medicina,sanitario,,1
economa,impiegatizio,,1
elettrotecnico,manuale,,1
enologo giornaliero,agricoltura e allevamento,,1
erborista,agricoltura e allevamento,,1
fabbricatore di guanti,artigianale,,1
fabbricatore di ombrelli,artigianale,,1
fabbro,artigianale,,67
fabbro armaiolo,artigianale,fabbro,1
fabbro ferraio,artigianale,fabbro,1
fabbro lavorante,artigianale,fabbro,1
fabbro operaio,artigianale,fabbro,1
Facchino,manuale,facchino,1
falegname,artigianale,,94
falegname - giornaliero,artigianale,falegname,1
falegname giornaliero,artigianale,falegname,1
"falegname, giornaliere",artigianale,falegname,1
"falegname, giornaliero",artigianale,falegname,2
famiglio ,manuale,,1
farmacista,sanitario,,5
fattore giornaliero,agricoltura e allevamento,fattore,1
fattorino giornaliero,manuale,fattorino,1
ferroviere,vario,,2
Filateriano,artigianale,filateriano,1
filatore di lana,artigianale,filatore,1
filatrice,artigianale,filatrice,1
filatrice di seta,artigianale,filatrice,2
foghista giornaliero,manuale,,1
fonditore giornaliero,manuale,,1
fornaciaio ,commercio,fornaio,1
fornaio,commercio,,3
Fornitore,commercio,fornitore,2
fossidente  ,vario,possidente,1
fotografo,artistico,,3
frate cappuccino,clero,,1
frate francescano,clero,,1
fruttivendolo,commercio,,1
G. R. ufficiale,militare,g. r. ufficiale,1
garzone,commercio,,1
garzone di barbiere,commercio,garzone,1
garzone di bottega,commercio,garzone,1
garzone di negozio,commercio,garzone,10
geometra,intellettuale e tecnico,,3
giardiniere,artigianale,,4
giardiniere giornaliere,artigianale,giardiniere,1
ginnastico,artistico,,1
gio.,precario,giornaliero,1
gior.,precario,giornaliero,2
gioraliero,precario,giornaliero,2
giorn,precario,giornaliero,2
giorn.,precario,giornaliero,76
giornal.,precario,giornaliero,2
giornalaio,commercio,,2
giornaleiro,precario,giornaliero,1
giornalieor,precario,giornaliero,1
giornaliera,precario,,297
"giornaliera, sarta",artigianale,sarta,1
giornaliere,precario,giornaliero,64
Giornaliere,precario,giornaliero,2
giornaliero,precario,giornaliero,7818
giornaliero - carbonaio,manuale,giornaliero,1
giornaliero - contadino,agricoltura e allevamento,contadino,1
giornaliero calzolaio,artigianale,calzolaio,1
giornaliero fabbro,artigianale,fabbro,1
giornaliero garzone,commercio,garzone,1
giornaliero muratore,manuale,muratore,1
giornaliero pescatore,agricoltura e allevamento,pescatore,1
giornaliero tagliapietra,manuale,tagliapietra,1
"Giornaliero, bersagliere",militare,bersagliere,3
"Giornaliero, contadino",agricoltura e allevamento,contadino,1
"giornaliero, mugnaio",agricoltura e allevamento,mugnaio,1
giornaliero/ muratore,manuale,muratore,1
giornaliero1,precario,giornaliero,1
giornaliero1891,precario,giornaliero,1
giornalieroa,precario,giornaliero,1
giornalino,precario,giornaliero,1
giornlaerio,precario,giornaliero,1
giornlaiera ,precario,giornaliero,1
giornliero,precario,giornaliero,3
giroaniero,precario,giornaliero,1
gironaliero,precario,giornaliero,3
gironalino,precario,giornaliero,1
girovago,vario,,1
giuornaliero,precario,giornaliero,1
gornaliero,precario,giornaliero,1
governante,domestico,,3
grioanliero,precario,giornaliero,1
I.R. Capitano,militare,i.r. capitano,1
imbianchino,artigianale,,2
impiegato,impiegatizio,,2
impiegato in f.,impiegatizio,impiegato,1
imprenditore,impiegatizio,,4
imprenditore ,impiegatizio,,1
impresario,commercio,,1
Impresario giornaliero,commercio,impresario,1
industriale,commercio,,2
industriante,commercio,industriale,1
ingegnere,intellettuale e tecnico,,8
ingegnere assistente,intellettuale e tecnico,ingegnere,1
ingegnere idraulico,intellettuale e tecnico,ingegnere,1
ingengere,intellettuale e tecnico,ingegnere,1
insegnante,intellettuale e tecnico,,2
insegnante di musica,intellettuale e tecnico,insegnante,1
inserviente,manuale,,4
inserviente patentato,manuale,inserviente,1
intagliatore,artigianale,,1
intagliatore di legno,artigianale,intagliatore,1
Intagliatore giornaliero,artigianale,intagliatore,1
invalido patentato,vario,,1
laico,vario,,1
lattoniere,manuale,,4
lavandaia,manuale,,3
Lavandaia ,manuale,lavandaia,1
lavandaio,manuale,,1
lavoratrice a maglia,artigianale,,1
legatore di libri,artigianale,,11
legatore di marmi,artigianale,,1
legatore libri,artigianale,legatore di libri,2
levatrice,sanitario,,3
libraio,commercio,,7
libraio - giornaliero,commercio,libraio,1
libraio operaio,commercio,libraio,1
litografo,artigianale,,1
lucidatore di marmi,artigianale,,1
macellaio,commercio,,8
maestra,intellettuale e tecnico,,8
maestra ,intellettuale e tecnico,,1
maestra di musica,intellettuale e tecnico,maestra,1
maestra di piano,intellettuale e tecnico,maestra,1
maestra privata,intellettuale e tecnico,maestra,1
maestro,intellettuale e tecnico,,19
maestro di musica,intellettuale e tecnico,maestro,1
maestro di scuola,intellettuale e tecnico,maestro,1
maestro di scuola elementare,intellettuale e tecnico,maestro,1
maestro falegname,artigianale,falegname,1
magazziniere,manuale,,1
mammana (levatrice),sanitario,levatrice,1
manovale,manuale,,11
marinaio,manuale,,1
meccanico,manuale,,5
meccanico giornaliero,manuale,meccanico,2
mediatore,vario,,2
medico,sanitario,,3
mercante girovago,commercio,mercante,1
mercantessa - libraia,commercio,libraia,1
merciaia,commercio,,1
mestra,intellettuale e tecnico,maestra,1
mestro di scuola,intellettuale e tecnico,maestro,1
militare,militare,,1
Militare giornaliero,militare,militare,1
minatore,manuale,,4
missionario,clero,,1
modista,vario,,1
mugnaia,intellettuale e tecnico,,1
mugnaio,intellettuale e tecnico,,14
muratore,manuale,,202
muratore giornal.,manuale,muratore,1
muratore giornaliere,manuale,muratore,1
muratore giornaliero ,manuale,muratore,3
"muratore, giornaliero",manuale,muratore,1
muratori,manuale,muratore,1
musicista,artistico,,1
negoziante,commercio,,68
negoziante ,commercio,negoziante,3
negozio ,commercio,,1
netturbino,manuale,,1
Non giornaliero ,vario,non giornaliero,1
notaio,intellettuale e tecnico,,1
ombrellaia,artigianale,,1
ombrellaio,artigianale,,2
operaia,manuale,,4
operaio,manuale,,20
operaio elettricista,manuale,elettricista,1
operario,manuale,operaio,1
orefice,artigianale,,6
ornatista in marmo,artigianale,,1
orologiaio,artigianale,,3
orologiaio giornaliero ,artigianale,orologiaio,1
orologiero giornal.,artigianale,orologiaio,1
orticoltrice,agricoltura e allevamento,,1
ortolano,agricoltura e allevamento,,4
oste,commercio,,13
ostessa,commercio,,1
ostetrica,sanitario,,1
padre francescano missionario,clero,,1
panettiere,commercio,,1
pastaio,commercio,,1
pasticcere,commercio,,5
Pasticciere,commercio,pasticcere,1
"pasticciere, giornaliero ",commercio,pasticcere,1
Pellettiere giornal.,artigianale,pellettiere,1
pensionato,vario,,2
perito commerciale - fotografo giornaliero,impiegatizio,perito commerciale,1
pirotecnico,artistico,,2
pittore,artistico,,10
pittore giornaliero,manuale,pittore,1
podestà,vario,,1
pompiere,vario,,1
possidente,vario,,126
Possidente ,vario,possidente,1
possidente (barone),vario,possidente,1
possidente (maggiore esercito in pensione),vario,possidente,1
possidente / dottore in legge,vario,possidente,1
possidente e capitano,vario,possidente,1
praticante di commercio,commercio,,2
praticante di negozio,commercio,,2
praticante in commercio,commercio,praticante di commercio,1
Pressidente ,vario,possidente,1
prestigiatore,artistico,,4
prestigio,artistico,prestigiatore,1
prestinaio,commercio,,5
prete,clero,,2
priore di chiesa,clero,,1
pristinaio,commercio,,4
privata,vario,,20
privato,vario,,18
privato (ufficiale),vario,privato,1
privato agente di Neggi,vario,privato,1
privato magg.e,vario,privato,1
Professione di musica,intellettuale e tecnico,professore,1
professore,intellettuale e tecnico,professore,3
professore al ginnasio,intellettuale e tecnico,professore,1
professore e archeologo,intellettuale e tecnico,archeologo,1
ramiere,artigianale,,1
ramiere operaio ,artigianale,ramiere,1
religioso,clero,,1
ricamatrice,artigianale,,2
rilegatore,artigianale,,1
rilegatore di libri,artigianale,rilegatore,3
rilegatore libri,artigianale,rilegatore,2
ritagliatore,artigianale,,1
sacerdote,clero,,17
saltimbanca,artistico,,1
sarta,artigianale,,82
sarta apprendista,artigianale,sarta,1
sarte giorn.,artigianale,sarta,1
sarto,artigianale,,24
sarto ,artigianale,,1
sarto giornaliere,artigianale,sarto ,1
sarto giornaliero,artigianale,sarto ,2
scalpellino,artigianale,,145
scalpellino - tagliapietra,artigianale,scalpellino,1
scalpellino operaio,artigianale,scalpellino,1
scalpertiere ,artigianale,scalpellino,1
scrittore,intellettuale e tecnico,,10
scrittore giornaliero,intellettuale e tecnico,scrittore,1
"scrittore, giornaliere",intellettuale e tecnico,scrittore,1
"scrittore, giornaliero",intellettuale e tecnico,scrittore,1
scrivano,impiegatizio,,2
scultore,artigianale,,10
sellaio,artigianale,sellaio,1
sellaio tapezziere ,artigianale,sellaio,1
sensale,commercio,,1
senza professione,vario,,1
sergente ,militare,,1
serva,manuale,,2
serviente ,manuale,,1
servitore,manuale,,1
Servo,manuale,servo,1
spazzacamino,manuale,,2
stalliere,manuale,,1
stampatore,artigianale,,1
Stilografo ,artigianale,stilografo,1
stiratrice,manuale,,1
Strazzaio,manuale,strazzaio,1
studente,intellettuale e tecnico,,47
studente di matematica,intellettuale e tecnico,studente,1
studente in medicina,intellettuale e tecnico,studente,1
studente in teologia,intellettuale e tecnico,studente,1
studentessa,intellettuale e tecnico,,1
studioso,intellettuale e tecnico,,1
suonatore,artistico,,2
suonatore d'organetto,artistico,suonatore,4
suonatore di organetto,artistico,suonatore,1
suonatore girovago,artistico,suonatore,1
supplente ginnasio di Rovereto,intellettuale e tecnico,insegnante,1
taglia pietra ,manuale,tagliapietre,1
taglialegna ,manuale,,1
tagliapietra,manuale,tagliapietre,8
"tagliapietra, giornaliero",manuale,tagliapietre,1
tagliapietre,manuale,tagliapietre,148
tagliapietre ,manuale,tagliapietre,4
taliapietre,manuale,tagliapietre,1
tappezziere,artigianale,,6
tassidente,vario,possidente,1
Tecnico privato,intellettuale e tecnico,tecnico,1
tenente ,militare,,1
tenente maresciallo,militare,,1
tessitore,artigianale,,7
tintore,artigianale,,7
tipografo,artigianale,,12
trafficante,commercio,,1
Trento,,,3
turisten ,vario,turista,1
ufficiale,militare,,2
ufficiale di cancelleria,militare,,1
ufficiale esercito,militare,,2
verniciatore,artigianale,,2
vetturale,commercio,,1
vetturino,commercio,,1
viaggiator negoziante,commercio,ambulante,1
viaggiatore commercio,commercio,ambulante,1
viaggiatore di commercio,commercio,ambulante,1
villico,agricoltura e allevamento,,1
erbaiolo,agricoltura e allevamento,,1
tornitore,artigianale,,1
maestra di scuola,intellettuale e tecnico,maestra,1
istitutrice,intellettuale e tecnico,,1
professore di ginnasio,intellettuale e tecnico,professore,1
accordatore musicale,artigianale,,1
negoziante e possidente,vario,,1
istitutrice,intellettuale e tecnico,istruttrice,1
librario,commercio,,1
cuoca,manuale,,1
istitutrice,intellettuale e tecnico,istruttrice,1
barcaiolo,vario,,1
accordatore di pianoforte,artigianale,,1
giornaliere,precario,giornaliero,1
sorvegliante lavori ferroviari,vario,,1
istitutrice,intellettuale e tecnico,istruttrice,1
giornaliere,precario,giornaliero,1
ispettore assicurativo,impiegatizio,,
supplente nell'istituto ginnasio di rovereto,intellettuale e tecnico,insegnante,
