luogo,nome corretto,raggruppamento
,,
1,,
3,Trento,Valle dell'Adige
1850,,
1858,,
1865,,
1867,,
1871,,
1882,,
1883,,
(Zivignago) Pergine,Zivignago,Alta Valsugana
1/2 lombardo,Mezzolombardo,Piana Rotaliana
1/2 Tedesco,Mezzocorona,Piana Rotaliana
Ala,Ala,Vallagarina
Albiano,Albiano,Val di Cembra
Albriano,Albiano,Val di Cembra
Almazzago,Almazzago,Val di Sole
Andalo,Andalo,Altopiano della Paganella
Andogno,Andogno,Valli Giudicarie
Arco,Arco,Alto Garda
Austria-Ungheria,Austria-Ungheria,Austria-Ugheria
Badelga di Piné,Baselga di Piné,Alta Valsugana
Badollo,Badollo,Alta Valsugana
Baeslga di Pinè,Baselga di Piné,Alta Valsugana
Bampi,Bampi,Alta Valsugana
Banco,Banco,Val di Non
Barbaniga,Barbaniga,Alta Valsugana
Baselga,Baselga,Alta Valsugana
Baselga ,Baselga ,Alta Valsugana
Baselga - Vigolo,Vigolo Baselga,Valle dei Laghi
Baselga di Piné,Baselga di Piné,Alta Valsugana
Baselga di Pinè,Baselga di Piné,Alta Valsugana
Baselga di Piné ,Baselga di Piné,Alta Valsugana
Baselga di Pinè ,Baselga di Piné,Alta Valsugana
Baselga di pink,Baselga di Piné,Alta Valsugana
Baselga di pino,Baselga di Piné,Alta Valsugana
Baselga di Vezzano,Baselga di Vezzano,Valle dei Laghi
Baselga P.,Baselga di Piné,Alta Valsugana
Baselga Pinè,Baselga di Piné,Alta Valsugana
Baselga Verzano,Baselga di Vezzano,Valle dei Laghi
Bedallo,Bedollo,Alta Valsugana
Bedol,Bedollo,Alta Valsugana
Bedol ,Bedollo,Alta Valsugana
Bedollo,Bedollo,Alta Valsugana
Bedollo di pinè,Bedollo,Alta Valsugana
Bedollo Pinè,Bedollo,Alta Valsugana
Bemolla,Bedollo,Alta Valsugana
Benno,Denno,Val di Non
Besalga,Baselga,Alta Valsugana
Beselga,Baselga,Alta Valsugana
Bicaldo/Baselga di Pinè,Bicaldo,Alta Valsugana
Bisenzone,Bisenzone,Italia
Bollentina,Bollentina,Val di Sole
Bolzano,Bolzano,Alto Adige
Borgo,Borgo,Bassa Valsugana
Brescia,Brescia,Italia
Bresimo,Bresimo,Val di Non
Bresino,Bresimo,Val di Non
Brez,Brez,Val di Non
Brunico,Brunico,Alto Adige
Brusago,Brusago,Alta Valsugana
Brusago di Bedollo,Brusago,Alta Valsugana
Brusino,Brusino,Valle dei Laghi
Brusino - Cavedine,Brusino,Valle dei Laghi
Brusino Cavedine,Brusino,Valle dei Laghi
Brusino/Cavedine,Brusino,Valle dei Laghi
Cadine,Cadine,Valle dei Laghi
Cagolo,Cogolo,Val di Sole
Calarino,Calavino,Valle dei Laghi
Calavino,Calavino,Valle dei Laghi
Caldonazzo,Caldonazzo,Alta Valsugana
Caligano,Caligano,Italia
Calliano,Calliano,Vallagarina
Calvino,Calavino,Valle dei Laghi
Cambra,Cembra,Val di Cembra
Campitello di Fassa,Campitello di Fassa,Val di Fassa
Campo,Campo Denno,Val di Non
Campo Denno,Campo Denno,Val di Non
Campo Denno ,Campo Denno ,Val di Non
Campo-Denno,Campo Denno,Val di Non
Campodenno,Campo Denno,Val di Non
Canale,,
Canal San Bovo,Canal San Bovo,Primiero
Canale di Susa,Canale di Susa,Alta Valsugana
Canezza,Canezza,Val dei Mocheni
Canezze,Canezza,Val dei Mocheni
Canzolino,Canzolino,Alta Valsugana
Carciato,Carciato,Val di Sole
Caredo,Coredo,Val di Non
Carezza,Canezza,Val dei Mocheni
Carpi,Carpi,Italia
Carzano,Carzano,Bassa Valsugana
Casalino,Casalino,Alta Valsugana
Casez,Casez,Val di Non
Castagné,Castagné,Alta Valsugana
Castagnè,Castagnè,Alta Valsugana
Castangé,Castangé,Alta Valsugana
Castasavina,Costasavina,Alta Valsugana
Castefondo,Castefondo,Val di Non
Castegné,Castagné,Alta Valsugana
Castel Tesino,Castel Tesino,Bassa Valsugana
Castelfondo,Castelfondo,Val di Non
Castello,Castello,Val di Fiemme
Castello di Fiemme,Castello di Fiemme,Val di Fiemme
Casteltesino,Casteltesino,Bassa Valsugana
Catagné,Castagné,Alta Valsugana
Cavalese,Cavalese,Val di Fiemme
Cavedago,Cavedago,Altopiano della Paganella
Cavedago ,Cavedago ,Altopiano della Paganella
Cavedine,Cavedine,Valle dei Laghi
Cavedine ,Cavedine ,Valle dei Laghi
Cavezze,Canezze,Alta Valsugana
Cellentino,Cellentino,Val di Sole
Cembra,Cembra,Val di Cembra
Cembra ,Cembra ,Val di Cembra
Cenezza,Canezza,Alta Valsugana
Centa,Centa,Alta Valsugana
Ceola di Giovo,Ceola di Giovo,Val di Cembra
Cerredo,Coredo,Val di Non
Cevedine,Cavedine,Valle dei Laghi
Ciago,Ciago,Valle dei Laghi
Ciao,Ciago,Valle dei Laghi
Cimbra,Cembra,Val di Cembra
Cimeo,Cimeo,Valli Giudicarie
Cincinnati (Usa),Cincinnati (Usa),America
Cinte Tesino,Cinte Tesino,Bassa Valsugana
Cis,Cis,Val di Non
Civezzano,Civezzano,Alta Valsugana
Cles,Cles,Val di Non
Cles ,Cles,Val di Non
Cloz,Cloz,Val di Non
Cognola,Cognola,Valle dell'Adige
congela,Cognola,Valle dell'Adige
contadino,,
Coredo,Coredo,Val di Non
Cortesano,Cortesano,Valle dell'Adige
Cortesano-Meano,Cortesano,Valle dell'Adige
Cortesano/Meano,Cortesano,Valle dell'Adige
Costasavina,Costasavina,Alta Valsugana
Covelo,Covelo,Valle dei Laghi
Croviana,Croviana,Val di Sole
Cunevo,Cunevo,Val di Sole
Dalcolmo Massimiliano,Caldonazzo,Alta Valsugana
Dammo ,,
Dardine,Dardine,Val di Non
Decolo,Dercolo,Val di Non
Denno,Denno,Val di Non
Dercolo,Dercolo,Val di Non
Dermullo,Dermulo,Val di Non
Dimaro,Dimaro,Val di Sole
Don,Don,Val di Non
Dorcolo,Dercolo,Val di Non
Dorsino,Dorsino,Valli Giudicarie
Drena,Drena,Valle dei Laghi
Egar ,,
Essen,Essen,Germania
Faedo,Faedo,Piana Rotaliana
Fai,Fai della Paganella,Altopiano della Paganella
Faida,Faida,Alta Valsugana
Faida di Miola,Faida,Alta Valsugana
Faida di Piné,Faida,Alta Valsugana
Falesina,Falesina,Alta Valsugana
Faver,Faver,Val di Cembra
Feltre,Feltre,Italia
Ficarolo (Italia),Ficarolo,Italia
Fiera,Fiera di Primiero,Primiero
Fierazzo,Fierozzo,Val dei Mocheni
Fieroser,Fierozzo,Val dei Mocheni
Fierozzo,Fierozzo,Val dei Mocheni
Fierozzo S. Felice,Fierozzo,Val dei Mocheni
Firenze,Firenze,Italia
Flavon,Flavon,Val di Non
Folgaria,Folgaria,"Altopiano di Folgaria, Lavarone, Luserna"
Fondo,Fondo,Val di Non
Fornace,Fornace,Alta Valsugana
Forncace,Fornace,Alta Valsugana
Foss,,
Frassikongo,Frassilongo,Val dei Mocheni
Frassilango,Frassilongo,Val dei Mocheni
Frassilongo,Frassilongo,Val dei Mocheni
Fraveggio,Fraveggio,Valle dei Laghi
Fraveggio ,Fraveggio ,Valle dei Laghi
"Fraveggio, Santa Massenza",Santa Massenza,Valle dei Laghi
Gardolo,Gardolo,Valle dell'Adige
Gazzadina,Gazzadina,Valle dell'Adige
Gazzadina Meano,Gazzadina,Valle dell'Adige
Genova (dimora a Trento),Genova,Italia
giornaliero,,
Giovo,Giovo,Val di Cembra
Gobbera,Gobbera,Primiero
Gonzaga,Gonzaga,Italia
Gonzaga (Italia),Gonzaga,Italia
Granno,Grauno,Val di Cembra
Graumo,Grauno,Val di Cembra
Grauno,Grauno,Val di Cembra
Grigno,Grigno,Bassa Valsugana
Grugno,Grugno,Bassa Valsugana
Grumes,Grumes,Val di Cembra
Grumme,Grumes,Val di Cembra
Grummes,Grumes,Val di Cembra
Grumo,Grumo,Piana Rotaliana
Guetta,Quetta,Val di Non
Gummes,Grumes,Val di Cembra
Hall in Tirol,Hall in Tirol,Tirolo del Nord
Imer,Imer,Primiero
Innsbruck,Innsbruck,Tirolo del Nord
Ischia,Ischia,Alta Valsugana
